company,time,metric,value
AB Borlänge Energi Elnät,1/1/2022,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,95
AB Borlänge Energi Elnät,1/1/2023,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,99
AB Borlänge Energi Elnät,1/1/2018,Total ledningslängd (meter) per abonnemang (beräkning),68.48293857
AB Borlänge Energi Elnät,1/1/2019,Total ledningslängd (meter) per abonnemang (beräkning),71.30352814
AB Borlänge Energi Elnät,1/1/2020,Total ledningslängd (meter) per abonnemang (beräkning),71.54602503
AB Borlänge Energi Elnät,1/1/2021,Total ledningslängd (meter) per abonnemang (beräkning),71.35940161
AB Borlänge Energi Elnät,1/1/2022,Total ledningslängd (meter) per abonnemang (beräkning),71.50200643
AB Borlänge Energi Elnät,1/1/2023,Total ledningslängd (meter) per abonnemang (beräkning),71.88958395
AB Borlänge Energi Elnät,1/1/2018,Total ledningslängd luftledning och jordkabel (beräkning),2021
AB Borlänge Energi Elnät,1/1/2019,Total ledningslängd luftledning och jordkabel (beräkning),2118
AB Borlänge Energi Elnät,1/1/2020,Total ledningslängd luftledning och jordkabel (beräkning),2132
AB Borlänge Energi Elnät,1/1/2021,Total ledningslängd luftledning och jordkabel (beräkning),2137
AB Borlänge Energi Elnät,1/1/2022,Total ledningslängd luftledning och jordkabel (beräkning),2156
AB Borlänge Energi Elnät,1/1/2023,Total ledningslängd luftledning och jordkabel (beräkning),2172
AB Borlänge Energi Elnät,1/1/2018,Totalsumma inmatad energi till redovisningsenheten (MWh),452385
AB Borlänge Energi Elnät,1/1/2019,Totalsumma inmatad energi till redovisningsenheten (MWh),438355
AB Borlänge Energi Elnät,1/1/2020,Totalsumma inmatad energi till redovisningsenheten (MWh),417387
AB Borlänge Energi Elnät,1/1/2021,Totalsumma inmatad energi till redovisningsenheten (MWh),439238
AB Borlänge Energi Elnät,1/1/2022,Totalsumma inmatad energi till redovisningsenheten (MWh),421330
AB Borlänge Energi Elnät,1/1/2023,Totalsumma inmatad energi till redovisningsenheten (MWh),442956
AB Borlänge Energi Elnät,1/1/2018,Totalt antal abonnemang för inmatning från produktionsanläggning (antal),87
AB Borlänge Energi Elnät,1/1/2019,Totalt antal abonnemang för inmatning från produktionsanläggning (antal),129
AB Borlänge Energi Elnät,1/1/2020,Totalt antal abonnemang för inmatning från produktionsanläggning (antal),248
AB Borlänge Energi Elnät,1/1/2021,Totalt antal abonnemang för inmatning från produktionsanläggning (antal),478
AB Borlänge Energi Elnät,1/1/2018,Totalt antal abonnemang i uttagspunkt,29511
AB Borlänge Energi Elnät,1/1/2019,Totalt antal abonnemang i uttagspunkt,29704
AB Borlänge Energi Elnät,1/1/2020,Totalt antal abonnemang i uttagspunkt,29799
AB Borlänge Energi Elnät,1/1/2021,Totalt antal abonnemang i uttagspunkt,29947
AB Borlänge Energi Elnät,1/1/2022,Totalt antal abonnemang i uttagspunkt,30153
AB Borlänge Energi Elnät,1/1/2023,Totalt antal abonnemang i uttagspunkt,30213
AB Borlänge Energi Elnät,1/1/2018,Totalt installerad transformatoreffekt i nätstationerna (MVA),229
AB Borlänge Energi Elnät,1/1/2019,Totalt installerad transformatoreffekt i nätstationerna (MVA),233
AB Borlänge Energi Elnät,1/1/2020,Totalt installerad transformatoreffekt i nätstationerna (MVA),233
AB Borlänge Energi Elnät,1/1/2021,Totalt installerad transformatoreffekt i nätstationerna (MVA),233
AB Borlänge Energi Elnät,1/1/2022,Totalt installerad transformatoreffekt i nätstationerna (MVA),238
AB Borlänge Energi Elnät,1/1/2023,Totalt installerad transformatoreffekt i nätstationerna (MVA),242
AB Borlänge Energi Elnät,1/1/2018,Under året producerad energi för att täcka nätförluster (MWh),0
AB Borlänge Energi Elnät,1/1/2019,Under året producerad energi för att täcka nätförluster (MWh),0
AB Borlänge Energi Elnät,1/1/2020,Under året producerad energi för att täcka nätförluster (MWh),0
AB Borlänge Energi Elnät,1/1/2021,Under året producerad energi för att täcka nätförluster (MWh),0
AB Borlänge Energi Elnät,1/1/2022,Under året producerad energi för att täcka nätförluster (MWh),
AB Borlänge Energi Elnät,1/1/2023,Under året producerad energi för att täcka nätförluster (MWh),
AB Borlänge Energi Elnät,1/1/2018,Utmatad energi i gränspunkt (MWh),0
AB Borlänge Energi Elnät,1/1/2019,Utmatad energi i gränspunkt (MWh),0
AB Borlänge Energi Elnät,1/1/2020,Utmatad energi i gränspunkt (MWh),7
AB Borlänge Energi Elnät,1/1/2021,Utmatad energi i gränspunkt (MWh),11716
AB Borlänge Energi Elnät,1/1/2022,Utmatad energi i gränspunkt (MWh),0
AB Borlänge Energi Elnät,1/1/2023,Utmatad energi i gränspunkt (MWh),0
AB Borlänge Energi Elnät,1/1/2018,Utmatad energi till slutkund - högspänning (MWh),141069
AB Borlänge Energi Elnät,1/1/2019,Utmatad energi till slutkund - högspänning (MWh),133066
AB Borlänge Energi Elnät,1/1/2020,Utmatad energi till slutkund - högspänning (MWh),118760
AB Borlänge Energi Elnät,1/1/2021,Utmatad energi till slutkund - högspänning (MWh),117523
AB Borlänge Energi Elnät,1/1/2022,Utmatad energi till slutkund - högspänning (MWh),124709
AB Borlänge Energi Elnät,1/1/2023,Utmatad energi till slutkund - högspänning (MWh),149039
AB Borlänge Energi Elnät,1/1/2018,Utmatad energi till slutkund - lågspänning (MWh),297168
AB Borlänge Energi Elnät,1/1/2019,Utmatad energi till slutkund - lågspänning (MWh),290871
AB Borlänge Energi Elnät,1/1/2020,Utmatad energi till slutkund - lågspänning (MWh),272099
AB Borlänge Energi Elnät,1/1/2021,Utmatad energi till slutkund - lågspänning (MWh),293526
AB Borlänge Energi Elnät,1/1/2022,Utmatad energi till slutkund - lågspänning (MWh),282640
AB Borlänge Energi Elnät,1/1/2023,Utmatad energi till slutkund - lågspänning (MWh),280118
AB Borlänge Energi Elnät,1/1/2018,Utnyttjningsgrad,
AB Borlänge Energi Elnät,1/1/2019,Utnyttjningsgrad,
AB Borlänge Energi Elnät,1/1/2020,Utnyttjningsgrad,0.7744
AB Borlänge Energi Elnät,1/1/2021,Utnyttjningsgrad,0.7893
AB Borlänge Energi Elnät,1/1/2022,Utnyttjningsgrad,0.777
AB Borlänge Energi Elnät,1/1/2023,Utnyttjningsgrad,0.7975
AB Borlänge Energi Elnät,1/1/2018,Varav abonnemang för småskalig produktion högspänning (antal),2
AB Borlänge Energi Elnät,1/1/2019,Varav abonnemang för småskalig produktion högspänning (antal),1
AB Borlänge Energi Elnät,1/1/2020,Varav abonnemang för småskalig produktion högspänning (antal),3
AB Borlänge Energi Elnät,1/1/2021,Varav abonnemang för småskalig produktion högspänning (antal),3
AB Borlänge Energi Elnät,1/1/2022,Varav abonnemang för småskalig produktion högspänning (antal),
AB Borlänge Energi Elnät,1/1/2023,Varav abonnemang för småskalig produktion högspänning (antal),
AB Borlänge Energi Elnät,1/1/2018,Varav abonnemang för småskalig produktion lågspänning (antal),85
AB Borlänge Energi Elnät,1/1/2019,Varav abonnemang för småskalig produktion lågspänning (antal),128
AB Borlänge Energi Elnät,1/1/2020,Varav abonnemang för småskalig produktion lågspänning (antal),244
AB Borlänge Energi Elnät,1/1/2021,Varav abonnemang för småskalig produktion lågspänning (antal),472
AB Borlänge Energi Elnät,1/1/2022,Varav abonnemang för småskalig produktion lågspänning (antal),
AB Borlänge Energi Elnät,1/1/2023,Varav abonnemang för småskalig produktion lågspänning (antal),
AB Borlänge Energi Elnät,1/1/2018,Varav inmatad energi från elproduktionsanläggningar anslutna till redovisningsenheten (MWh),0
AB Borlänge Energi Elnät,1/1/2019,Varav inmatad energi från elproduktionsanläggningar anslutna till redovisningsenheten (MWh),52318
